n
"{""name"":Boyang,""year"":2,""userid"":u002}"
"{""name"":LeZhou,""year"":1,""userid"":s001}"
"{""name"":OverWatch,""abbr"":OW,""type"":Shooting}"
"{""name"":Zhichu,""year"":3,""userid"":u001}"
"{""name"":C9,""year"":2020}"
"{""name"":Dota2,""abbr"":DOTA,""type"":MOBA}"
"{""name"":World of Warcraft,""abbr"":WOW,""type"":RPG}"
"{""name"":League of Legends,""abbr"":LOL,""type"":MOBA}"
"{""name"":The Elder Scrolls V: Skyrim,""abbr"":,""type"":RPG}"
"{""name"":Rust,""abbr"":RUST,""type"":Survival}"
"{""name"":English}"
"{""name"":Chinese}"
"{""name"":Hindi}"
"{""name"":Spanish}"
"{""name"":Arabic}"
"{""name"":Russian}"
"{""name"":Liquid,""id"":6,""year"":2000}"
"{""name"":Adams,""year"":4,""userid"":u005}"
"{""name"":Bansode,""year"":3,""userid"":u007}"
"{""name"":Bouvier,""year"":5,""userid"":u023}"
"{""name"":Brown,""year"":6,""userid"":u021}"
"{""name"":Anna,""year"":8,""userid"":u007}"
"{""name"":Chawla,""year"":2,""userid"":s005}"
"{""name"":Kaleema,""year"":1,""userid"":s006}"
"{""name"":Mandal,""year"":3,""userid"":s020}"
"{""name"":Jain,""year"":1,""userid"":s023}"
"{""name"":Noor,""year"":2,""userid"":s016}"
"{""name"":New York Excelsior,""id"":8,""year"":2010}"
"{""name"":Secret,""id"":9,""year"":2016}"
